suburb,period,total_score,price_growth_pct,period_median_price,estimated_yield_pct,estimated_monthly_rent,period_transactions,activity_change_pct,avg_distance_to_road_m,reliability,price_growth_score,affordability_score,yield_score,accessibility_score,liquidity_score
WILLOUGHBY,9-Year,72.92212953841874,82.63319672131148,1782500.0,3.8,5644.583333333333,244,-54.56238361266295,1166.2365380938143,VERY HIGH,35,8.315625,15.833333333333332,11.501290385718557,2.271880819366853
NORTH WILLOUGHBY,9-Year,72.10116956223513,71.42857142857143,1800000.0,3.8,5700.0,181,-47.687861271676304,1532.5902358381281,VERY HIGH,35,8.25,15.833333333333332,10.402229292485615,2.615606936416185
WILLOUGHBY EAST,9-Year,71.2349318566675,100.74074074074073,2710000.0,3.8,8581.666666666666,51,-56.41025641025641,538.4628853843379,VERY HIGH,35,4.8375,15.833333333333332,13.384611343846986,2.1794871794871797
NORTHBRIDGE,9-Year,70.93065149085106,85.18518518518519,2500000.0,3.8,7916.666666666667,227,-50.10989010989011,1007.3957789959184,VERY HIGH,35,5.625,15.833333333333332,11.977812663012244,2.4945054945054945
MIDDLE COVE,9-Year,70.80310919742804,102.4793388429752,2450000.0,3.8,7758.333333333333,35,-56.79012345679012,1001.0726543552595,HIGH,35,5.8125,15.833333333333332,11.99678203693422,2.160493827160494
CHATSWOOD,9-Year,67.91815476190476,58.00865800865801,1825000.0,3.8,5779.166666666667,2,-71.42857142857143,,VERY LOW,35,8.15625,15.833333333333332,7.5,1.4285714285714284
CASTLECRAG,9-Year,67.8871208225726,72.2339675828048,3055000.0,3.2,8146.666666666667,76,-51.28205128205128,475.28664888605783,VERY HIGH,35,3.5437499999999993,13.333333333333334,13.574140053341827,2.435897435897436
ROSEVILLE,9-Year,65.91239037258971,74.54089635854342,1557777.5,3.8,4932.962083333333,430,-59.04761904761905,3708.9654611208844,VERY HIGH,35,9.158334374999999,15.833333333333332,3.873103616637346,2.0476190476190474
ROSEVILLE CHASE,9-Year,63.9229494391095,114.00778210116731,2750000.0,3.8,8708.333333333334,39,-55.172413793103445,2946.421068189552,HIGH,35,4.6875,15.833333333333332,6.160736795431344,2.2413793103448274
CASTLE COVE,9-Year,63.07676499070747,117.85714285714286,3050000.0,3.2,8133.333333333333,62,-55.39568345323741,2016.4280566546652,VERY HIGH,35,3.5625,13.333333333333334,8.950715830036003,2.2302158273381294
LINDFIELD,9-Year,59.583333333333336,320.7792207792208,4050000.0,3.2,10800.0,3,-25.0,,VERY LOW,35,0.0,13.333333333333334,7.5,3.75
