suburb,1-Year_score,1-Year_growth,1-Year_price,1-Year_transactions,1-Year_reliability,3-Year_score,3-Year_growth,3-Year_price,3-Year_transactions,3-Year_reliability,5-Year_score,5-Year_growth,5-Year_price,5-Year_transactions,5-Year_reliability,9-Year_score,9-Year_growth,9-Year_price,9-Year_transactions,9-Year_reliability
ROSEVILLE,71.46545810967862,337.5,2275000.0,24,HIGH,31.917212495643533,-24.20814479638009,1675000.0,73,VERY HIGH,64.80063381477274,59.4896331738437,2000000.0,163,VERY HIGH,65.91239037258971,74.54089635854342,1557777.5,430,VERY HIGH
WILLOUGHBY,52.524375625284065,2.684563758389262,2295000.0,6,LOW,69.53205683170762,34.916748285994125,2755000.0,38,HIGH,72.1360757868961,54.861111111111114,2230000.0,105,VERY HIGH,72.92212953841874,82.63319672131148,1782500.0,244,VERY HIGH
NORTHBRIDGE,35.31460797249255,-7.328605200945626,4900000.0,5,LOW,34.04024712376859,-1.0577814569536426,2988055.0,32,HIGH,65.59023197077272,39.32603147596767,3275555.0,88,VERY HIGH,70.93065149085106,85.18518518518519,2500000.0,227,VERY HIGH
CASTLECRAG,,,,0,NO DATA,64.85939224586875,19.126984126984127,3752500.0,12,MODERATE,66.31095967252877,30.37037037037037,3520000.0,27,HIGH,67.8871208225726,72.2339675828048,3055000.0,76,VERY HIGH
ROSEVILLE CHASE,,,,0,NO DATA,28.06334439883237,-14.925373134328357,2850000.0,3,VERY LOW,58.78240867879586,52.77777777777778,3300000.0,11,MODERATE,63.9229494391095,114.00778210116731,2750000.0,39,HIGH
NORTH WILLOUGHBY,35.17357086968635,-6.976744186046512,3600000.0,8,LOW,36.73656619794556,-17.101423220973782,1660044.0,20,HIGH,71.32063207026339,14.098837209302326,1962500.0,66,VERY HIGH,72.10116956223513,71.42857142857143,1800000.0,181,VERY HIGH
MIDDLE COVE,59.655244868137636,0.0,2700000.0,1,VERY LOW,38.882977939807496,-26.82926829268293,2700000.0,9,LOW,66.32384082391737,71.5649334338106,3415000.0,16,MODERATE,70.80310919742804,102.4793388429752,2450000.0,35,HIGH
CASTLE COVE,33.15371400542221,-57.245575221238944,3865000.0,6,LOW,26.861849402815825,-11.585365853658537,3625000.0,13,MODERATE,62.71531117367422,44.54545454545455,3975000.0,35,HIGH,63.07676499070747,117.85714285714286,3050000.0,62,VERY HIGH
WILLOUGHBY EAST,53.33956617002379,0.0,3700000.0,1,VERY LOW,65.61734394780156,28.695652173913043,3700000.0,5,LOW,64.26664950335712,42.71844660194174,3675000.0,12,MODERATE,71.2349318566675,100.74074074074073,2710000.0,51,VERY HIGH
WILLOUGHBY NORTH,,,,0,NO DATA,,,,0,NO DATA,,,,0,NO DATA,,,,0,NO DATA
LINDFIELD,,,,0,NO DATA,,,,0,NO DATA,,,,0,NO DATA,59.583333333333336,320.7792207792208,4050000.0,3,VERY LOW
WILLOUHBY,,,,0,NO DATA,,,,0,NO DATA,,,,0,NO DATA,,,,0,NO DATA
EAST ROSEVILLE,,,,0,NO DATA,,,,0,NO DATA,,,,0,NO DATA,,,,0,NO DATA
EAST CHATSWOOD,,,,0,NO DATA,,,,0,NO DATA,,,,0,NO DATA,,,,0,NO DATA
WOLLONGONG,,,,0,NO DATA,,,,0,NO DATA,,,,0,NO DATA,,,,0,NO DATA
CHATSWOOD,,,,0,NO DATA,,,,0,NO DATA,,,,0,NO DATA,67.91815476190476,58.00865800865801,1825000.0,2,VERY LOW
